type,code,status,plate,sector_id
mid,E-35-PAP2-130,1,not,4
mid,E-35-PAP2-131,1,not,4
mid,E-35-PAP2-132,1,not,4
mid,E-35-PAP2-133,1,not,4
mid,E-35-PAP2-134,1,not,4
mid,E-35-PAP2-135,1,not,4
mid,E-35-PAP2-136,1,not,4
mid,E-35-PAP2-137,1,not,4
mid,E-35-PAP2-138,1,not,4
mid,E-35-PAP2-139,1,not,4
mid,E-35-PAP2-140,1,not,4
mid,E-35-PAP2,1,not,4
mid,E-35-PAP2,1,not,4
mid,E-35-PAP2-141,1,not,4
mid,E-35-PAP2-142,1,not,4
mid,E-35-PAP2-143,1,not,4
mid,E-35-PAP2-144,1,not,4
mid,E-35-PAP2-145,1,not,4
mid,E-35-PAP2-146,1,not,4
mid,E-35-PAP2-147,1,not,4
mid,E-35-PAP2-148,1,not,4
mid,E-35-PAP2-149,1,not,4
mid,E-35-PAP2-150,1,not,4
small,E-35-PAP2,1,not,4
small,E-35-PAP2,1,not,4
small,E-35-PAP2,1,not,4
small,E-35-PAP2,1,not,4
small,E-35-PAP2,1,not,4
small,E-35-PAP2,1,not,4
small,E-35-PAP2,1,not,4
small,E-35-PAP2,1,not,4
mid,E-35-PAP2-151,1,not,4
mid,E-35-PAP2-152,2,not,4
mid,E-35-PAP2-153,1,not,4
mid,E-35-PAP2-154,1,not,4
mid,E-35-PAP2-155,1,not,4
mid,E-35-PAP2-156,1,not,4
mid,E-35-PAP2-157,1,not,4
mid,E-35-PAP2-158,1,not,4
mid,E-35-PAP2-159,1,not,4
mid,E-35-PAP2-160,1,not,4
mid,E-35-PAP2-161,1,not,4
mid,E-35-PAP2-162,1,not,4
mid,E-35-PAP2-163,1,not,4
mid,E-35-PAP2-164,1,not,4
mid,E-35-PAP2-165,1,not,4
mid,E-35-PAP2-166,1,not,4
mid,E-35-PAP2-167,1,not,4
mid,E-35-PAP2-168,1,not,4
mid,E-35-PAP2-169,1,not,4
mid,E-35-PAP2-170,1,not,4
mid,E-35-PAP2-171,1,not,4
mid,E-35-PAP2-172,1,not,4
mid,E-35-PAP2-173,1,not,4
mid,E-35-PAP2-174,1,not,4
mid,E-35-PAP2-175,1,not,4
mid,E-35-PAP2-176,1,not,4
mid,E-35-PAP2-177,1,not,4
mid,E-35-PAP2-178,1,not,4
mid,E-35-PAP2-179,1,not,4
mid,E-35-PAP2-180,1,not,4
mid,E-35-PAP2-181,1,not,4
mid,E-35-PAP2-182,1,not,4
mid,E-35-PAP2-183,1,not,4
mid,E-35-PAP2-184,1,not,4
mid,E-35-PAP2-185,1,not,4
mid,E-35-PAP2-186,1,not,4
mid,E-35-PAP2-187,1,not,4
mid,E-35-PAP2-188,1,not,4
mid,E-35-PAP2-189,1,not,4
mid,E-35-PAP2-190,1,not,4
mid,E-35-PAP2-191,1,not,4
mid,E-35-PAP2-192,1,not,4
mid,E-35-PAP2-193,1,not,4
mid,E-35-PAP2-194,1,not,4
mid,E-35-PAP2-195,1,not,4
mid,E-35-PAP2-196,1,not,4
mid,E-35-PAP2-197,2,not,4
mid,E-35-PAP2-198,1,not,4
mid,E-35-PAP2-199,1,not,4
mid,E-35-PAP2-200,1,not,4
mid,E-35-PAP2-201,0,not,4
mid,E-35-PAP2-202,1,not,4
mid,E-35-PAP2-203,1,not,4
mid,E-35-PAP2-204,1,not,4
mid,E-35-PAP2-205,1,not,4
mid,E-35-PAP2-206,1,not,4
mid,E-35-PAP2-207,1,not,4
mid,E-35-PAP2-208,1,not,4
mid,E-35-PAP2-209,1,not,4
mid,E-35-PAP2-210,1,not,4
mid,E-35-PAP2-211,1,not,4
mid,E-35-PAP2-212,1,not,4
mid,E-35-PAP2-213,1,not,4
mid,E-35-PAP2-214,1,not,4
mid,E-35-PAP2-215,1,not,4
mid,E-35-PAP2-216,1,not,4
mid,E-35-PAP2-217,1,not,4
mid,E-35-PAP2-218,1,not,4
Large,E-35-PAP2-219,1,not,4
mid,E33-P1-001,1,not,5
mid,CETI-002,1,not,5
mid,E33-P1-003,1,not,5
mid,E33-P1-004,1,not,5
mid,E33-P1-005,1,not,5
mid,E33-P1-006,1,not,5
mid,E33-P1-007,1,not,5
mid,E33-P1-008,1,not,5
mid,B33-P1-009,1,not,5
mid,CETI-010,1,not,5
mid,E33-P1-011,1,not,5
mid,E33-P1-012,1,not,5
mid,E33-P1-013,1,not,5
mid,E33-P1-014,1,not,5
mid,E33-P1-015,1,not,5
mid,E33-P1-016,1,not,5
mid,E33-P1-017,1,not,5
mid,E33-P1-018,1,not,5
mid,E33-P1-019,1,not,5
mid,B33-P1-020,1,not,5
mid,CETI-021,1,not,5
mid,CETI-022,1,not,5
mid,CETI-023,0,not,5
mid,E33-P1-024,1,not,5
mid,CETI-025,1,not,5
mid,CETI-026,1,not,5
mid,E33-P1-027,1,not,5
mid,CETI-028,1,not,5
mid,E33-P1-029,1,not,5
mid,CETI-030,1,not,5
mid,E33-P1-031,1,not,5
mid,CETI-032,1,not,5
mid,E33-P1-033,1,not,5
mid,CETI-034,1,not,5
mid,E33-P1-035,1,not,5
mid,E33-P1-036,1,not,5
mid,E33-P1-037,1,not,5
mid,E33-P1-038,1,not,5
mid,E33-P1-039,1,not,5
mid,E33-P1-040,1,not,5
mid,E33-P1-041,1,not,5
mid,E33-P1-042,1,not,5
mid,E33-P1-043,1,not,5
mid,E33-P1-044,1,not,5
mid,E33-P1-045,1,not,5
mid,E33-P1-046,1,not,5
mid,E33-P1-047,0,not,5
mid,E33-P1-048,1,not,5
mid,E33-P1-049,1,not,5
mid,E33-P1-050,1,not,5
mid,E33-P1-051,1,not,5
mid,E33-P1-052,1,not,5
mid,E33-P1-053,1,not,5
mid,E33-P1-054,1,not,5
mid,E33-P1-055,1,not,5
mid,E33-P1-056,1,not,5
mid,E33-P1-057,1,not,5
mid,E33-P1-058,1,not,5
mid,E33-P1-059,0,not,5
mid,E33-P1-060,1,not,5
mid,E33-P1-061,1,not,5
mid,E33-P1-062,1,not,5
mid,E33-P1-063,1,not,5
mid,E33-P1-064,1,not,5
mid,E33-P1-065,1,not,5
mid,E33-P1-066,1,not,5
mid,E33-P1-067,1,not,5
mid,E33-P1-068,1,not,5
mid,E33-P1-069,1,not,5
mid,E33-P1-070,1,not,5
mid,E33-P1-071,1,not,5
mid,E33-P1-072,1,not,5
mid,E33-P1-073,1,not,5
mid,E33-P1-074,1,not,5
mid,E33-P1-075,1,not,5
mid,E33-P1-076,1,not,5
mid,E33-P1-077,1,not,5
mid,E33-P1-078,1,not,5
mid,E33-P1-079,1,not,5
mid,E33-P1-080,1,not,5
mid,E33-P1-081,1,not,5
mid,E33-P1-082,1,not,5
mid,E33-P1-083,1,not,5
mid,E33-P1-084,1,not,5
mid,E33-P1-085,1,not,5
mid,E33-P1-086,1,not,5
mid,E33-P1-087,1,not,5
mid,E33-P1-088,1,not,5
mid,E33-P1-089,1,not,5
mid,E33-P1-090,1,not,5
mid,E33-P1-091,1,not,5
mid,E33-P1-092,1,not,5
mid,E33-P1-093,1,not,5
mid,E33-P1-094,1,not,5
mid,E33-P1-095,1,not,5
mid,E33-P1-096,1,not,5
mid,E33-P1-097,1,not,5
mid,E33-P1-098,1,not,5
mid,E33-P1-099,1,not,5
mid,E33-P1-100,1,not,5
mid,E33-P1-101,1,not,5
mid,E33-P1-102,1,not,5
mid,E33-P1-103,1,not,5
mid,E33-P1-104,1,not,5
mid,E33-P1-105,1,not,5
mid,E33-P1-106,1,not,5
mid,E33-P1-107,1,not,5
mid,E33-P1-108,1,not,5
mid,E33-P1-109,1,not,5
mid,E33-P1-110,1,not,5
mid,E33-P1-111,1,not,5
mid,E33-P1-112,1,not,5
mid,E33-P1-113,1,not,5
mid,E33-P1-114,1,not,5
mid,E33-P1-115,1,not,5
mid,E33-P1-116,1,not,5
mid,E33-P1-117,1,not,5
mid,E33-P1-118,1,not,5
mid,E33-P1-119,0,not,5
mid,E33-P1-120,1,not,5
mid,E33-P1-121,1,not,5
mid,E33-P1-122,1,not,5
mid,E33-P1-123,1,not,5
mid,E33-P1-124,1,not,5
mid,E33-P1-125,1,not,5
mid,E33-P1-126,1,not,5
mid,E33-P1-127,1,not,5
mid,E33-P1-128,1,not,5
mid,E33-P1-129,1,not,5
mid,E33-P1-130,1,not,5
mid,E33-P1-131,1,not,5
mid,E33-P1-132,1,not,5
mid,E33-P1-133,1,not,5
mid,E33-P1-134,1,not,5
mid,E33-P1-135,1,not,5
mid,E33-P1-136,1,not,5
mid,E33-P1-137,1,not,5
mid,E33-P1-138,1,not,5
mid,E33-P1-139,1,not,5
mid,E33-P1-140,1,not,5
mid,E33-P1-141,1,not,5
mid,E33-P1-142,1,not,5
mid,E33-P1-143,1,not,5
mid,E33-P1-144,1,not,5
mid,E33-P1-145,1,not,5
mid,E33-P1-146,1,not,5
mid,E33-P1-147,1,not,5
mid,E33-P1-148,1,not,5
mid,E33-P1-149,1,not,5
mid,E33-P1-150,1,not,5
mid,E33-P1-151,1,not,6
mid,E33-P1-152,1,not,6
mid,E33-P1-153,1,not,6
mid,E33-P1-154,1,not,6
mid,E33-P1-155,1,not,6
mid,E33-P1-156,1,not,6
mid,E33-P1-157,1,not,6
mid,E33-P1-158,1,not,6
mid,E33-P1-159,1,not,6
mid,E33-P1-160,1,not,6
mid,E33-P1-161,1,not,6
mid,E33-P1-162,1,not,6
mid,E33-P1-163,1,not,6
mid,E33-P1-164,1,not,6
mid,E33-P1-165,1,not,6
mid,E33-P1-166,1,not,6
mid,E33-P1-167,1,not,6
mid,E33-P1-168,1,not,6
mid,E33-P1-169,1,not,6
mid,E33-P1-170,1,not,6
mid,E33-P1-171,1,not,6
mid,E33-P1-172,1,not,6
mid,E33-P1-173,1,not,6
mid,E33-P1-174,1,not,6
mid,E33-P1-175,1,not,6
mid,E33-P1-176,1,not,6
mid,E33-P1-177,1,not,6
mid,E33-P1-178,1,not,6
mid,E33-P1-179,1,not,6
mid,E33-P1-180,1,not,6
mid,E33-P1-181,1,not,6
mid,E33-P1-182,1,not,6
mid,E33-P1-183,1,not,6
mid,E33-P1-184,1,not,6
mid,E33-P1-185,1,not,6
mid,E33-P1-186,1,not,6
mid,E33-P1-187,1,not,6
mid,E33-P1-188,1,not,6
mid,E33-P1-189,1,not,6
mid,E33-P1-190,1,not,6
mid,E33-P1-191,1,not,6
mid,E33-P1-192,1,not,6
mid,E33-P1-193,1,not,6
mid,E33-P1-194,1,not,6
mid,E33-P1-195,1,not,6
mid,E33-P1-196,1,not,6
mid,E33-P1-197,1,not,6
mid,E33-P1-198,1,not,6
mid,E33-P1-199,1,not,6
mid,E33-P1-200,1,not,6
